code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
N9K-X96136YC-R,,,,,,4.0,32.0,,16.0,,1.2 Tbps,x,4 GB,linecard,,9500,4039.218523
N9K-X96136YC-R,,,,,,4.0,,48.0,,,1.2 Tbps,x,4 GB,linecard,,9500,4039.218523
N9K-X96136YC-R,,,,,,4.0,,,48.0,,1.2 Tbps,x,4 GB,linecard,,9500,4039.218523
N9K-X9432C-S,,,,32.0,,,,,,,6.4 Tbps,,32 MB,linecard,,9500,9919.48152
N9K-X9432C-S,,,,,64.0,,,,,,6.4 Tbps,,33 MB,linecard,,9500,9919.48152
N9K-X9432C-S,,,,,,32.0,,,,,6.4 Tbps,,34 MB,linecard,,9500,9919.48152
N9K-X9432C-S,,,,,,,128.0,,,,6.4 Tbps,,35 MB,linecard,,9500,9919.48152
N9K-X9432C-S,,,,,,,,128.0,,,6.4 Tbps,,36 MB,linecard,,9500,9919.48152
N9K-X9736PQ,,,,,,36.0,,,,,2.8 Tbps,,42 MB,linecard,,9500,4289.059906
N9K-X9636PQ,,,,,,36.0,,,,,2.88 Tbps,,36 MB,linecard,,9500,4289.059906
N9K-X9536PQ,,,,,,36.0,,,,,2.88 Tbps,,104 MB,linecard,,9500,4289.059906
N9K-X9432PQ,,,,,,32.0,,,,,2.56 Tbps,,24 MB,linecard,,9500,3790.1113
N9K-X9564PX,,,,,,4.0,,48.0,,,1.28 Tbps,,104 MB,linecard,,9500,1830.503098
N9K-X9564PX,,,,,,4.0,,,48.0,,1.28 Tbps,,104 MB,linecard,,9500,1830.503098
N9K-X9464PX,,,,,,4.0,,48.0,,,1.28 Tbps,,12 MB,linecard,,9500,1830.503098
N9K-X9464PX,,,,,,4.0,,,48.0,,1.28 Tbps,,12 MB,linecard,,9500,1830.503098
N9K-X9564TX,,,,,,4.0,,48.0,,,1.28 Tbps,,104 MB,linecard,,9500,1830.503098
N9K-X9564TX,,,,,,4.0,,,48.0,,1.28 Tbps,,104 MB,linecard,,9500,1830.503098
N9K-X9464TX2,,,,,,4.0,,48.0,,,1.28 Tbps,,12 MB,linecard,,9500,1830.503098
N9K-X9464TX2,,,,,,4.0,,,48.0,,1.28 Tbps,,12 MB,linecard,,9500,1830.503098
9400,,,,,,,,,,,,,,modular,8.0,9400,0.0
N9K-X9400-8D,,8.0,,,,,,,,,,x,,linecard,,9400,9919.48152
N9K-X9400-16W,,,16.0,,,,,,,,,x,,linecard,,9400,9919.48152
N9K-X9400-22L,,,,,22.0,,,,,,,x,,linecard,,9400,3232.53931
N9K-X9400-22L,,,,,,,22.0,,,,,x,,linecard,,9400,3232.53931
N9K-X9400-22L,,,,,,,,22.0,,,,x,,linecard,,9400,3232.53931
HF6100-60L4D,,4.0,,,60.0,,,,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,4.0,,60.0,,,,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,,4.0,60.0,,,,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,,,60.0,4.0,,,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,4.0,,,,,60.0,,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,4.0,,,,60.0,,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,,4.0,,,60.0,,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,,,,4.0,60.0,,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,4.0,,,,,,60.0,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,4.0,,,,,60.0,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,,4.0,,,,60.0,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,,,,4.0,,60.0,,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,4.0,,,,,,,60.0,,,,,fixed,,6000,14520.35448
HF6100-60L4D,,,4.0,,,,,,60.0,,,,,fixed,,6000,14520.35448
