code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
7800R3-36D,,,,8.0,,,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,,,,,8.0,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,,,,,,,232.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,8.0,,,,,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,,,8.0,,,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,,,,,8.0,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,,,,224.0,,8.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,,,,224.0,,,8.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,,,,8.0,,224.0,,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,,,,,,224.0,8.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,,,,8.0,,,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3-36D,,,,,,,8.0,224.0,,,14.4,,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,36.0,,,,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,144.0,,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,232.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,8.0,,,224.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,8.0,224.0,,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,224.0,8.0,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,,36.0,,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,,,232.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,8.0,,,,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,8.0,,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,,8.0,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,,,,232.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,8.0,,,,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,8.0,,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,,8.0,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,224.0,,8.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,224.0,,,8.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,8.0,,224.0,,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,,,224.0,8.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,8.0,,,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3K-36DM,,,,,,,8.0,224.0,,,14.4,x,16.0,linecard,,7800R3,48124.04366
7800R3-48CQ,,,,48.0,,,,,,,4.8,,8.0,linecard,,7800R3,15183.95104
7800R3-48CQ,,,,,96.0,,,,,,4.8,,8.0,linecard,,7800R3,15183.95104
7800R3-48CQ,,,,,,48.0,,,,,1.9,,8.0,linecard,,7800R3,15183.95104
7800R3-48CQ,,,,,,,96.0,,,,2.4,,8.0,linecard,,7800R3,15183.95104
7800R3-48CQ,,,,,,,,96.0,,,0.96,,8.0,linecard,,7800R3,15183.95104
